"row.names","cost","count","type"
"227",107.58,2,"OP"
"228",100.7,1,"OP"
"229",90.47,696,"OP"
"230",150.87,632,"OP"
"231",52.25,16,"OP"
"232",158.52,384,"OP"
"233",269.85,670,"OP"
"234",173.61,17,"OP"
"235",166.78,61,"OP"
"236",92.18,53,"OP"
"237",193.71,8,"OP"
"238",193.48,7,"OP"
"239",65.39,3,"OP"
"240",496.53,11,"OP"
"241",162.26,9,"OP"
"242",165.55,5,"OP"
"243",101.86,11,"OP"
"244",357.2,76,"OP"
"245",216.11,88,"OP"
"246",359.5,2,"OP"
"247",321.39,1,"OP"
"248",115.97,50,"OP"
"249",230.39,1,"OP"
"250",202.34,10,"OP"
"251",163.88,13,"OP"
"252",51.81,2,"OP"
"253",137.85,10,"OP"
"254",400.53,7,"OP"
"255",187.15,3,"OP"
"256",87.06,480,"OP"
"257",287,44570,"OP"
"258",43.51,868,"OP"
"259",164.4,22691,"OP"
"260",313,8448,"OP"
"261",124.3,26149,"OP"
"262",389.5,116,"OP"
"263",792.3,770,"OP"
"264",163.41,812,"OP"
"265",202.41,33,"OP"
"266",266.58,160,"OP"
"267",78.04,25,"OP"
"268",363,179,"OP"
"269",84.75,419,"OP"
"270",88.92,9,"OP"
"271",123.25,53,"OP"
"272",208.45,238,"OP"
"273",140.08,329,"OP"
"274",160.84,3,"OP"
"275",139.09,4891,"OP"
"276",98.78,541,"OP"
"277",1267,6,"OP"
"278",21.43,6038,"OP"
"279",144,208550,"OP"
"280",112.91,191,"OP"
"281",37.76,6503,"OP"
"282",407.56,2726,"OP"
"283",430.98,581,"OP"
"284",53.95,2421,"OP"
"285",84.05,11652,"OP"
"286",105.43,707,"OP"
"287",185.73,4914,"OP"
"288",141.62,1274,"OP"
"289",227.71,28,"OP"
"290",260.63,188,"OP"
"291",39.76,33,"OP"
"292",81.8,664,"OP"
"293",209.79,417,"OP"
"294",319.49,52,"OP"
"295",141.82,4286,"OP"
"296",93.11,45,"OP"
"297",106.4,3584,"OP"
"298",407.02,99,"OP"
"299",738.71,1709,"OP"
"300",126.63,450,"OP"
"301",535.69,104,"OP"
"302",93.47,108,"OP"
"303",229.83,74,"OP"
"304",412.23,128,"OP"
"305",493,392,"OP"
"306",233,4171,"OP"
"307",80.82,7426,"OP"
"308",85.45,2337,"OP"
"309",225.22,1150,"OP"
"310",155.08,2,"OP"
"311",82.3,62045,"OP"
"312",372.67,33,"OP"
"313",158.74,8,"OP"
"314",37.35,1173,"OP"
"315",31.76,524,"OP"
"316",85.85,2047,"OP"
"317",96.32,98,"OP"
"318",132.53,3068,"OP"
"319",266,5211,"OP"
"320",108.47,502,"OP"
"321",115.02,340,"OP"
"322",133.29,6,"OP"
"323",89.86,635,"OP"
"324",215.34,758,"OP"
"325",31.45,19014,"OP"
"326",497.4,13,"OP"
"327",70.21,3171,"OP"
"328",356.92,37,"OP"
"329",52.44,10299,"OP"
"330",519,323,"OP"
"331",258.97,2629,"OP"
"332",62.12,55,"OP"
"333",58.63,313,"OP"
"334",282.28,808,"OP"
"335",72.13,1281,"OP"
"336",95,898836,"OP"
"337",74.17,3771,"OP"
"338",41.87,16225,"OP"
"339",92.96,11436,"OP"
"340",77.32,153,"OP"
"341",73.67,1064,"OP"
"342",192.52,682,"OP"
"343",99.4,4825,"OP"
"344",260.34,1650,"OP"
"345",314.76,43,"OP"
"346",219.96,22,"OP"
"347",112.68,11,"OP"
"348",62.43,390,"OP"
"349",126.37,25,"OP"
"350",484.09,995,"OP"
"351",183.66,224,"OP"
"352",526,17,"OP"
"353",23.02,1475,"OP"
"354",72.92,91455,"OP"
"355",82.92,1871,"OP"
"356",76.93,373,"OP"
"357",37.08,3196,"OP"
"358",52.55,1595,"OP"
"359",56.81,20153,"OP"
"360",83.89,81,"OP"
"361",49.46,2791,"OP"
"362",54.13,3640,"OP"
"363",192.65,633,"OP"
"364",120.1,256,"OP"
"365",189.9,64,"OP"
"366",157.72,102,"OP"
"367",96.98,65,"OP"
"368",292.08,304,"OP"
"369",147.07,5416,"OP"
"370",112.21,73,"OP"
"371",223.51,780,"OP"
"372",132.26,57,"OP"
"373",392.26,105,"OP"
"374",95.97,4471,"OP"
"375",155.23,100,"OP"
"376",215.42,2,"OP"
"377",133.62,5,"OP"
"378",81.03,629,"OP"
"379",219.64,93,"OP"
"380",155.29,3162,"OP"
"381",260.66,29,"OP"
"382",111.52,6366,"OP"
"383",114.74,6242,"OP"
"384",59.84,23,"OP"
"385",254.89,3,"OP"
"386",377.76,13,"OP"
"387",755.29,31,"OP"
"388",84.39,361,"OP"
"389",205.51,194,"OP"
"390",202.36,1769,"OP"
"391",151.11,32,"OP"
"392",63.2,487,"OP"
"393",194.54,67,"OP"
"394",245.12,16,"OP"
"395",100.18,4,"OP"
"396",442.53,10,"OP"
"397",559.08,14,"OP"
"398",93.63,1268,"OP"
"399",140.48,8,"OP"
"400",172.55,50,"OP"
"401",186.09,84,"OP"
"402",205.87,3,"OP"
"403",1173.2,27,"OP"
"404",31.3,86,"OP"
"405",2143,437,"OP"
"406",126.7,496,"OP"
"407",818,5,"OP"
"408",389.78,36,"OP"
"409",197.2,35,"OP"
"410",195.6,3445,"OP"
"411",73.87,3521,"OP"
"412",67.15,785,"OP"
"413",39.02,1707,"OP"
"414",167.9,84,"OP"
"415",197.15,3562,"OP"
"416",167.05,144,"OP"
"417",134.54,374,"OP"
"418",117.29,2,"OP"
"419",172.09,70,"OP"
"420",192.02,70,"OP"
"421",162.64,52,"OP"
"422",326.2,1,"OP"
"423",62.27,117,"OP"
"424",168.03,1088,"OP"
"425",90.24,2720,"OP"
"426",148.97,127,"OP"
"427",92.02,28,"OP"
"428",151.01,150,"OP"
"429",196.43,6,"OP"
"430",139.63,62,"OP"
"431",197.28,8098,"OP"
"432",159.85,44,"OP"
"433",65.47,162,"OP"
"434",23.66,24,"OP"
"435",306.98,72,"OP"
"436",359.36,95,"OP"
"437",65.69,2,"OP"
"438",50.64,21,"OP"
"439",147.74,6289,"OP"
"440",116.81,46,"OP"
"441",150.23,1690,"OP"
"442",244.66,2037,"OP"
"443",85.18,511,"OP"
"444",386.46,44,"OP"
"445",119.95,92,"OP"
"446",27.21,9,"OP"
"447",522.31,16,"OP"
"448",133.05,23,"OP"
"449",143.68,33,"OP"
"450",141.03,1,"OP"
"451",247.36,294,"OP"
